#{"t_start": 1639978134.4646127, "env_id": null}
r,l,t
117025.065409,217,0.449911
116478.226912,234,0.811528
112108.880683,227,1.158015
114182.777961,223,1.491897
142511.24462,216,1.825983
184645.574087,223,2.169967
163495.058255,206,2.501142
120748.833811,203,2.830136
129061.674042,230,3.175924
119789.749675,207,4.478161
