agent,trial,episode,reward,acceptance_rate,mean_cpu_utilization,mean_memory_utilization,mean_bandwidth_utilization,mean_operating_servers
PPO,103,0,156409.8170274158,0.27,0.07054018670309653,0.047750648028371596,0.10172289811090988,0.875
PPO,104,0,109436.02614838851,0.32,0.06909352836879434,0.05494796106157564,0.0959641709447198,0.8677248677248677
PPO,105,0,47751.24777846192,0.72,0.045253188018979824,0.032161003152418245,0.0721109961728648,0.7163120567375887
PPO,106,0,107327.97692380988,0.27,0.07055744636963694,0.047634153942062045,0.09303875292147246,0.8522167487684729
PPO,107,0,110855.50380525657,0.39,0.06723001700680277,0.043051923597686004,0.08682498226767923,0.7926829268292683
PPO,108,0,161183.78506462832,0.3,0.07593271683673466,0.07417571886995233,0.09156283839914629,0.8984771573604061
PPO,109,0,114944.71262856938,0.31,0.07467702513966475,0.032459548114711474,0.09436090896454406,0.8222222222222222
PPO,110,0,121407.44549560401,0.42,0.05798233695652175,0.049669654243411514,0.09318938405881892,0.8441558441558441
PPO,111,0,137161.37436239183,0.4,0.05536631121642962,0.055064051198891475,0.09102754364766062,0.8254716981132075
PPO,112,0,105798.2122003509,0.26,0.08585394385026741,0.04237077944839136,0.08898254108702851,0.8723404255319149
PPO,113,0,45198.95029487966,0.69,0.05304181134259259,0.04280929700480137,0.07960277027200784,0.7716262975778547
PPO,114,0,121642.9540929296,0.46,0.05797812064156208,0.05200655025593841,0.08924246525415043,0.825
PPO,115,0,163751.74983329992,0.37,0.06557550904977373,0.04625182432181312,0.089352429121146,0.8198198198198198
PPO,116,0,117247.99342081422,0.37,0.048522286821705424,0.06544020902144858,0.09947474761287975,0.8888888888888888
PPO,117,0,71428.81597761341,0.52,0.05196707589285713,0.03951315512699192,0.0701523597291339,0.76
PPO,118,0,83938.43215854626,0.61,0.05483217592592591,0.03837218881270168,0.0798733013849573,0.723404255319149
PPO,119,0,154100.26260919048,0.28,0.08027146464646459,0.04449355133048204,0.09607053737739993,0.8795180722891566
PPO,120,0,124612.45446708876,0.3,0.06994047619047614,0.052858369382715584,0.09173492567922098,0.8627450980392157
PPO,121,0,143072.04148047074,0.43,0.04188144329896908,0.05534926197537158,0.10084823293552922,0.8564102564102564
PPO,122,0,79025.0860271066,0.69,0.039852528089887644,0.03911924530250608,0.08403816565294382,0.75
PPO,123,0,78988.14080549004,0.56,0.05590883397932813,0.034279538435416236,0.08098903477900173,0.7567567567567568
